id_empregado;primeironome;nomemeio;ultimonome;namestyle;datanascimento;email;telefone;sexo;departamento
35;Jian Shuo                                         ;                                                  ;Wang                                              ;N;1983/02/24 00:00:00.000000000;jianshuo0@adventure-works.com                     ;952-555-0178             ;M;Production                                        
38;Alice                                             ;O                                                 ;Ciccu                                             ;N;1977/08/26 00:00:00.000000000;alice0@adventure-works.com                        ;333-555-0173             ;F;Production                                        
39;Simon                                             ;D                                                 ;Rapier                                            ;N;1989/12/15 00:00:00.000000000;simon0@adventure-works.com                        ;963-555-0134             ;M;Production                                        
40;Jinghao                                           ;K                                                 ;Liu                                               ;N;1988/09/05 00:00:00.000000000;jinghao0@adventure-works.com                      ;794-555-0159             ;M;Production                                        
41;Michael                                           ;T                                                 ;Hines                                             ;N;1989/12/15 00:00:00.000000000;michael0@adventure-works.com                      ;218-555-0126             ;M;Production                                        
42;Yvonne                                            ;S                                                 ;McKay                                             ;N;1988/11/13 00:00:00.000000000;yvonne0@adventure-works.com                       ;286-555-0189             ;F;Production                                        
45;Russell                                           ;                                                  ;Hunter                                            ;N;1972/06/25 00:00:00.000000000;russell0@adventure-works.com                      ;786-555-0144             ;M;Production                                        
46;A. Scott                                          ;                                                  ;Wright                                            ;N;1968/04/17 00:00:00.000000000;ascott0@adventure-works.com                       ;992-555-0194             ;M;Production Control                                
47;Fred                                              ;T                                                 ;Northup                                           ;N;1989/01/23 00:00:00.000000000;fred0@adventure-works.com                         ;818-555-0192             ;M;Production                                        
50;Jun                                               ;T                                                 ;Cao                                               ;N;1979/02/03 00:00:00.000000000;jun0@adventure-works.com                          ;299-555-0113             ;M;Production                                        
52;Susan                                             ;A                                                 ;Metters                                           ;N;1982/10/31 00:00:00.000000000;susan1@adventure-works.com                        ;639-555-0164             ;F;Production                                        
53;Reuben                                            ;H                                                 ;D'sa                                              ;N;1987/03/27 00:00:00.000000000;reuben0@adventure-works.com                       ;191-555-0112             ;M;Production                                        
54;Kirk                                              ;J                                                 ;Koenigsbauer                                      ;N;1984/09/06 00:00:00.000000000;kirk0@adventure-works.com                         ;669-555-0150             ;M;Production                                        
55;David                                             ;J                                                 ;Ortiz                                             ;N;1984/07/29 00:00:00.000000000;david2@adventure-works.com                        ;712-555-0119             ;M;Production                                        
57;Hanying                                           ;P                                                 ;Feng                                              ;N;1974/05/16 00:00:00.000000000;hanying0@adventure-works.com                      ;319-555-0139             ;M;Production                                        
58;Kevin                                             ;H                                                 ;Liu                                               ;N;1985/07/25 00:00:00.000000000;kevin1@adventure-works.com                        ;714-555-0138             ;M;Production                                        
59;Annik                                             ;O                                                 ;Stahl                                             ;N;1976/07/26 00:00:00.000000000;annik0@adventure-works.com                        ;499-555-0125             ;M;Production                                        
60;Suroor                                            ;R                                                 ;Fatima                                            ;N;1977/09/25 00:00:00.000000000;suroor0@adventure-works.com                       ;932-555-0161             ;M;Production                                        
62;Jim                                               ;H                                                 ;Scardelis                                         ;N;1986/04/08 00:00:00.000000000;jim0@adventure-works.com                          ;679-555-0113             ;M;Production                                        
63;Carole                                            ;M                                                 ;Poland                                            ;N;1983/05/19 00:00:00.000000000;carole0@adventure-works.com                       ;688-555-0192             ;F;Production                                        
64;George                                            ;Z                                                 ;Li                                                ;N;1976/11/14 00:00:00.000000000;george0@adventure-works.com                       ;518-555-0199             ;M;Production                                        
65;Gary                                              ;W                                                 ;Yukish                                            ;N;1987/12/15 00:00:00.000000000;gary0@adventure-works.com                         ;901-555-0125             ;M;Production                                        
66;Cristian                                          ;K                                                 ;Petculescu                                        ;N;1983/11/10 00:00:00.000000000;cristian0@adventure-works.com                     ;434-555-0133             ;M;Production                                        
67;Raymond                                           ;K                                                 ;Sam                                               ;N;1966/09/30 00:00:00.000000000;raymond0@adventure-works.com                      ;226-555-0197             ;M;Production                                        
69;Bob                                               ;N                                                 ;Hohman                                            ;N;1979/03/16 00:00:00.000000000;bob0@adventure-works.com                          ;611-555-0116             ;M;Production                                        
70;Shammi                                            ;G                                                 ;Mohamed                                           ;N;1980/05/04 00:00:00.000000000;shammi0@adventure-works.com                       ;793-555-0179             ;M;Production                                        
71;Linda                                             ;K                                                 ;Moschell                                          ;N;1987/02/14 00:00:00.000000000;linda0@adventure-works.com                        ;612-555-0171             ;F;Production                                        
75;Sandra                                            ;                                                  ;Reátegui Alayo                                    ;N;1975/06/05 00:00:00.000000000;sandra0@adventure-works.com                       ;896-555-0168             ;F;Production                                        
76;Kok-Ho                                            ;T                                                 ;Loh                                               ;N;1979/11/27 00:00:00.000000000;kok-ho0@adventure-works.com                       ;999-555-0155             ;M;Production                                        
77;Douglas                                           ;B                                                 ;Hite                                              ;N;1985/06/24 00:00:00.000000000;douglas0@adventure-works.com                      ;808-555-0172             ;M;Production                                        
78;James                                             ;D                                                 ;Kramer                                            ;N;1984/02/23 00:00:00.000000000;james0@adventure-works.com                        ;119-555-0117             ;M;Production                                        
80;Nitin                                             ;S                                                 ;Mirchandani                                       ;N;1986/07/01 00:00:00.000000000;nitin0@adventure-works.com                        ;143-555-0173             ;M;Production                                        
82;Rebecca                                           ;A                                                 ;Laszlo                                            ;N;1988/02/04 00:00:00.000000000;rebecca0@adventure-works.com                      ;314-555-0113             ;F;Production                                        
83;Rajesh                                            ;M                                                 ;Patel                                             ;N;1977/05/04 00:00:00.000000000;rajesh0@adventure-works.com                       ;373-555-0137             ;M;Production                                        
85;John                                              ;P                                                 ;Evans                                             ;N;1977/12/29 00:00:00.000000000;john1@adventure-works.com                         ;172-555-0130             ;M;Production                                        
86;Nancy                                             ;A                                                 ;Anderson                                          ;N;1988/06/19 00:00:00.000000000;nancy0@adventure-works.com                        ;970-555-0118             ;F;Production                                        
88;David                                             ;A                                                 ;Yalovsky                                          ;N;1981/03/03 00:00:00.000000000;david3@adventure-works.com                        ;373-555-0142             ;M;Production                                        
89;David                                             ;P                                                 ;Hamilton                                          ;N;1983/01/30 00:00:00.000000000;david4@adventure-works.com                        ;986-555-0177             ;M;Production                                        
90;Laura                                             ;C                                                 ;Steele                                            ;N;1980/07/25 00:00:00.000000000;laura0@adventure-works.com                        ;777-555-0141             ;F;Production                                        
91;Margie                                            ;W                                                 ;Shoop                                             ;N;1985/12/18 00:00:00.000000000;margie0@adventure-works.com                       ;818-555-0128             ;F;Production                                        
93;Lorraine                                          ;O                                                 ;Nay                                               ;N;1988/06/26 00:00:00.000000000;lorraine0@adventure-works.com                     ;845-555-0184             ;F;Production                                        
94;Fadi                                              ;K                                                 ;Fakhouri                                          ;N;1988/09/15 00:00:00.000000000;fadi0@adventure-works.com                         ;935-555-0116             ;M;Production                                        
95;Ryan                                              ;L                                                 ;Cornelsen                                         ;N;1972/01/12 00:00:00.000000000;ryan0@adventure-works.com                         ;208-555-0114             ;M;Production                                        
97;Nuan                                              ;                                                  ;Yu                                                ;N;1978/10/27 00:00:00.000000000;nuan0@adventure-works.com                         ;913-555-0184             ;M;Production                                        
98;William                                           ;S                                                 ;Vong                                              ;N;1981/06/06 00:00:00.000000000;william0@adventure-works.com                      ;148-555-0145             ;M;Production Control                                
99;William                                           ;S                                                 ;Vong                                              ;N;1981/06/06 00:00:00.000000000;william0@adventure-works.com                      ;148-555-0145             ;M;Production Control                                
100;Bjorn                                             ;M                                                 ;Rettig                                            ;N;1989/06/06 00:00:00.000000000;bjorn0@adventure-works.com                        ;199-555-0117             ;M;Production                                        
101;Scott                                             ;R                                                 ;Gode                                              ;N;1986/09/10 00:00:00.000000000;scott0@adventure-works.com                        ;391-555-0138             ;M;Production                                        
102;Michael                                           ;L                                                 ;Rothkugel                                         ;N;1990/08/04 00:00:00.000000000;michael1@adventure-works.com                      ;454-555-0119             ;M;Production                                        
103;Lane                                              ;M                                                 ;Sacksteder                                        ;N;1974/04/23 00:00:00.000000000;lane0@adventure-works.com                         ;200-555-0117             ;M;Production                                        
104;Pete                                              ;C                                                 ;Male                                              ;N;1976/09/03 00:00:00.000000000;pete0@adventure-works.com                         ;768-555-0123             ;M;Production                                        
107;Lolan                                             ;B                                                 ;Song                                              ;N;1972/08/24 00:00:00.000000000;lolan0@adventure-works.com                        ;582-555-0178             ;M;Production                                        
108;Paula                                             ;R                                                 ;Nartker                                           ;N;1986/09/10 00:00:00.000000000;paula1@adventure-works.com                        ;476-555-0119             ;F;Production                                        
110;Mindaugas                                         ;J                                                 ;Krapauskas                                        ;N;1977/12/05 00:00:00.000000000;mindaugas0@adventure-works.com                    ;637-555-0120             ;M;Production                                        
111;Eric                                              ;                                                  ;Gubbels                                           ;N;1984/08/19 00:00:00.000000000;eric0@adventure-works.com                         ;260-555-0119             ;M;Production                                        
113;Jason                                             ;M                                                 ;Watters                                           ;N;1988/07/07 00:00:00.000000000;jason0@adventure-works.com                        ;571-555-0179             ;M;Production                                        
115;Janeth                                            ;M                                                 ;Esteves                                           ;N;1972/02/22 00:00:00.000000000;janeth0@adventure-works.com                       ;540-555-0191             ;F;Production                                        
116;Marc                                              ;J                                                 ;Ingle                                             ;N;1986/05/24 00:00:00.000000000;marc0@adventure-works.com                         ;234-555-0169             ;M;Production                                        
118;Paul                                              ;R                                                 ;Singh                                             ;N;1990/06/04 00:00:00.000000000;paul1@adventure-works.com                         ;727-555-0112             ;M;Production                                        
119;Frank                                             ;T                                                 ;Lee                                               ;N;1987/04/06 00:00:00.000000000;frank0@adventure-works.com                        ;158-555-0191             ;M;Production                                        
121;Diane                                             ;H                                                 ;Tibbott                                           ;N;1989/03/09 00:00:00.000000000;diane2@adventure-works.com                        ;361-555-0180             ;F;Production                                        
123;Angela                                            ;W                                                 ;Barbariol                                         ;N;1990/12/29 00:00:00.000000000;angela0@adventure-works.com                       ;150-555-0194             ;F;Production                                        
125;Bryan                                             ;                                                  ;Baker                                             ;N;1973/03/27 00:00:00.000000000;bryan0@adventure-works.com                        ;712-555-0113             ;M;Production                                        
126;Jeff                                              ;V                                                 ;Hay                                               ;N;1976/08/15 00:00:00.000000000;jeff0@adventure-works.com                         ;350-555-0167             ;M;Production                                        
127;Eugene                                            ;R                                                 ;Zabokritski                                       ;N;1987/02/12 00:00:00.000000000;eugene0@adventure-works.com                       ;241-555-0191             ;M;Production                                        
128;Barbara                                           ;S                                                 ;Decker                                            ;N;1984/07/29 00:00:00.000000000;barbara0@adventure-works.com                      ;119-555-0192             ;F;Production                                        
129;Chris                                             ;T                                                 ;Preston                                           ;N;1988/07/16 00:00:00.000000000;chris0@adventure-works.com                        ;200-555-0112             ;M;Production                                        
132;Mark                                              ;K                                                 ;McArthur                                          ;N;1979/04/25 00:00:00.000000000;mark1@adventure-works.com                         ;417-555-0154             ;M;Production                                        
134;Houman                                            ;N                                                 ;Pournasseh                                        ;N;1971/03/30 00:00:00.000000000;houman0@adventure-works.com                       ;180-555-0136             ;M;Production                                        
135;Sairaj                                            ;L                                                 ;Uddin                                             ;N;1987/07/22 00:00:00.000000000;sairaj0@adventure-works.com                       ;500-555-0159             ;M;Production Control                                
136;Michiko                                           ;F                                                 ;Osada                                             ;N;1982/01/25 00:00:00.000000000;michiko0@adventure-works.com                      ;984-555-0148             ;M;Production                                        
137;Benjamin                                          ;R                                                 ;Martin                                            ;N;1985/08/05 00:00:00.000000000;benjamin0@adventure-works.com                     ;533-555-0111             ;M;Production                                        
138;Cynthia                                           ;S                                                 ;Randall                                           ;N;1981/03/18 00:00:00.000000000;cynthia0@adventure-works.com                      ;352-555-0138             ;F;Production                                        
139;Kathie                                            ;E                                                 ;Flood                                             ;N;1990/06/01 00:00:00.000000000;kathie0@adventure-works.com                       ;446-555-0118             ;F;Production                                        
140;Britta                                            ;L                                                 ;Simon                                             ;N;1989/04/28 00:00:00.000000000;britta0@adventure-works.com                       ;955-555-0169             ;F;Production                                        
141;Brian                                             ;T                                                 ;Lloyd                                             ;N;1976/09/10 00:00:00.000000000;brian0@adventure-works.com                        ;110-555-0182             ;M;Production                                        
145;Michael                                           ;W                                                 ;Patten                                            ;N;1973/12/01 00:00:00.000000000;michael2@adventure-works.com                      ;441-555-0195             ;M;Production                                        
146;Andy                                              ;M                                                 ;Ruth                                              ;N;1983/05/20 00:00:00.000000000;andy0@adventure-works.com                         ;118-555-0110             ;M;Production                                        
147;Yuhong                                            ;L                                                 ;Li                                                ;N;1976/11/04 00:00:00.000000000;yuhong0@adventure-works.com                       ;965-555-0155             ;M;Production                                        
148;Robert                                            ;J                                                 ;Rounthwaite                                       ;N;1984/09/28 00:00:00.000000000;robert0@adventure-works.com                       ;589-555-0147             ;M;Production                                        
150;Reed                                              ;T                                                 ;Koch                                              ;N;1988/08/08 00:00:00.000000000;reed0@adventure-works.com                         ;678-555-0110             ;M;Production                                        
151;Linda                                             ;A                                                 ;Randall                                           ;N;1977/05/05 00:00:00.000000000;linda1@adventure-works.com                        ;696-555-0157             ;F;Production                                        
152;James                                             ;R                                                 ;Hamilton                                          ;N;1988/02/04 00:00:00.000000000;james1@adventure-works.com                        ;870-555-0122             ;M;Production                                        
155;Samantha                                          ;H                                                 ;Smith                                             ;N;1987/06/22 00:00:00.000000000;samantha0@adventure-works.com                     ;587-555-0114             ;F;Production                                        
156;Tawana                                            ;G                                                 ;Nusbaum                                           ;N;1989/06/10 00:00:00.000000000;tawana0@adventure-works.com                       ;368-555-0113             ;M;Production                                        
157;Denise                                            ;H                                                 ;Smith                                             ;N;1988/02/04 00:00:00.000000000;denise0@adventure-works.com                       ;869-555-0119             ;F;Production                                        
159;Alex                                              ;M                                                 ;Nayberg                                           ;N;1989/11/11 00:00:00.000000000;alex0@adventure-works.com                         ;819-555-0198             ;M;Production                                        
160;Eugene                                            ;O                                                 ;Kogan                                             ;N;1975/09/10 00:00:00.000000000;eugene1@adventure-works.com                       ;173-555-0179             ;M;Production                                        
161;Brandon                                           ;G                                                 ;Heidepriem                                        ;N;1976/08/10 00:00:00.000000000;brandon0@adventure-works.com                      ;429-555-0137             ;M;Production                                        
163;Shane                                             ;S                                                 ;Kim                                               ;N;1989/12/22 00:00:00.000000000;shane0@adventure-works.com                        ;810-555-0178             ;M;Production                                        
164;John                                              ;Y                                                 ;Chen                                              ;N;1985/11/03 00:00:00.000000000;john2@adventure-works.com                         ;201-555-0163             ;M;Production                                        
166;Jose                                              ;R                                                 ;Lugo                                              ;N;1984/02/29 00:00:00.000000000;jose0@adventure-works.com                         ;587-555-0115             ;M;Production                                        
167;Mandar                                            ;H                                                 ;Samant                                            ;N;1985/10/19 00:00:00.000000000;mandar0@adventure-works.com                       ;140-555-0132             ;M;Production                                        
169;Sameer                                            ;A                                                 ;Tejani                                            ;N;1978/01/24 00:00:00.000000000;sameer0@adventure-works.com                       ;990-555-0172             ;M;Production                                        
171;Carol                                             ;M                                                 ;Philips                                           ;N;1988/05/17 00:00:00.000000000;carol0@adventure-works.com                        ;609-555-0153             ;F;Production                                        
172;Rob                                               ;T                                                 ;Caron                                             ;N;1973/03/04 00:00:00.000000000;rob1@adventure-works.com                          ;238-555-0116             ;M;Production                                        
173;Don                                               ;L                                                 ;Hall                                              ;N;1971/01/11 00:00:00.000000000;don0@adventure-works.com                          ;100-555-0174             ;M;Production                                        
174;Alan                                              ;J                                                 ;Brewer                                            ;N;1983/10/28 00:00:00.000000000;alan0@adventure-works.com                         ;438-555-0172             ;M;Production Control                                
175;David                                             ;Oliver                                            ;Lawrence                                          ;N;1985/04/23 00:00:00.000000000;david7@adventure-works.com                        ;118-555-0177             ;M;Production                                        
176;Baris                                             ;F                                                 ;Cetinok                                           ;N;1990/05/07 00:00:00.000000000;baris0@adventure-works.com                        ;164-555-0114             ;M;Production                                        
177;Michael                                           ;Sean                                              ;Ray                                               ;N;1988/08/29 00:00:00.000000000;michael3@adventure-works.com                      ;156-555-0199             ;M;Production                                        
178;Steve                                             ;F                                                 ;Masters                                           ;N;1990/11/04 00:00:00.000000000;steve0@adventure-works.com                        ;712-555-0170             ;M;Production                                        
179;Suchitra                                          ;O                                                 ;Mohan                                             ;N;1987/01/08 00:00:00.000000000;suchitra0@adventure-works.com                     ;753-555-0129             ;F;Production                                        
181;Terrence                                          ;W                                                 ;Earls                                             ;N;1984/07/08 00:00:00.000000000;terrence0@adventure-works.com                     ;110-555-0115             ;M;Production                                        
183;Chad                                              ;W                                                 ;Niswonger                                         ;N;1990/03/04 00:00:00.000000000;chad0@adventure-works.com                         ;559-555-0175             ;M;Production                                        
184;Rostislav                                         ;E                                                 ;Shabalin                                          ;N;1977/04/13 00:00:00.000000000;rostislav0@adventure-works.com                    ;751-555-0134             ;M;Production                                        
185;Belinda                                           ;M                                                 ;Newman                                            ;N;1974/10/15 00:00:00.000000000;belinda0@adventure-works.com                      ;319-555-0126             ;F;Production                                        
186;Katie                                             ;L                                                 ;McAskill-White                                    ;N;1984/06/18 00:00:00.000000000;katie0@adventure-works.com                        ;809-555-0133             ;F;Production                                        
187;Russell                                           ;M                                                 ;King                                              ;N;1981/09/11 00:00:00.000000000;russell1@adventure-works.com                      ;517-555-0122             ;M;Production                                        
188;Jack                                              ;S                                                 ;Richins                                           ;N;1983/01/20 00:00:00.000000000;jack0@adventure-works.com                         ;552-555-0111             ;M;Production                                        
189;Andrew                                            ;R                                                 ;Hill                                              ;N;1988/04/06 00:00:00.000000000;andrew0@adventure-works.com                       ;908-555-0159             ;M;Production                                        
190;Nicole                                            ;B                                                 ;Holliday                                          ;N;1985/11/07 00:00:00.000000000;nicole0@adventure-works.com                       ;508-555-0129             ;F;Production                                        
191;Frank                                             ;T                                                 ;Miller                                            ;N;1971/02/21 00:00:00.000000000;frank1@adventure-works.com                        ;167-555-0139             ;M;Production                                        
193;Anibal                                            ;T                                                 ;Sousa                                             ;N;1974/04/05 00:00:00.000000000;anibal0@adventure-works.com                       ;106-555-0120             ;F;Production                                        
194;Ken                                               ;L                                                 ;Myer                                              ;N;1980/12/26 00:00:00.000000000;ken1@adventure-works.com                          ;949-555-0174             ;M;Production                                        
196;Michael                                           ;T                                                 ;Entin                                             ;N;1989/01/13 00:00:00.000000000;michael4@adventure-works.com                      ;817-555-0186             ;M;Production                                        
197;Lionel                                            ;C                                                 ;Penuchot                                          ;N;1987/10/13 00:00:00.000000000;lionel0@adventure-works.com                       ;450-555-0152             ;M;Production                                        
198;Thomas                                            ;R                                                 ;Michaels                                          ;N;1985/08/10 00:00:00.000000000;thomas0@adventure-works.com                       ;278-555-0118             ;M;Production                                        
200;Michael                                           ;T                                                 ;Vanderhyde                                        ;N;1982/04/18 00:00:00.000000000;michael5@adventure-works.com                      ;296-555-0121             ;M;Production                                        
201;Lori                                              ;A                                                 ;Kane                                              ;N;1980/02/16 00:00:00.000000000;lori0@adventure-works.com                         ;289-555-0196             ;F;Production                                        
203;Stefen                                            ;A                                                 ;Hesse                                             ;N;1975/07/21 00:00:00.000000000;stefen0@adventure-works.com                       ;165-555-0113             ;M;Production                                        
206;Elizabeth                                         ;I                                                 ;Keyser                                            ;N;1989/08/25 00:00:00.000000000;elizabeth0@adventure-works.com                    ;318-555-0137             ;F;Production                                        
208;John                                              ;N                                                 ;Frum                                              ;N;1981/10/22 00:00:00.000000000;john3@adventure-works.com                         ;663-555-0172             ;M;Production                                        
209;Merav                                             ;A                                                 ;Netz                                              ;N;1982/12/11 00:00:00.000000000;merav0@adventure-works.com                        ;224-555-0187             ;F;Production                                        
210;Brian                                             ;P                                                 ;LaMee                                             ;N;1984/03/11 00:00:00.000000000;brian1@adventure-works.com                        ;313-555-0196             ;M;Production Control                                
211;Kitti                                             ;H                                                 ;Lertpiriyasuwat                                   ;N;1987/01/04 00:00:00.000000000;kitti0@adventure-works.com                        ;785-555-0132             ;F;Production                                        
212;Jay                                               ;G                                                 ;Adams                                             ;N;1975/09/11 00:00:00.000000000;jay0@adventure-works.com                          ;407-555-0165             ;M;Production                                        
213;Jan                                               ;S                                                 ;Miksovsky                                         ;N;1974/06/15 00:00:00.000000000;jan0@adventure-works.com                          ;139-555-0131             ;M;Production                                        
214;Brenda                                            ;M                                                 ;Diaz                                              ;N;1982/09/28 00:00:00.000000000;brenda0@adventure-works.com                       ;142-555-0139             ;F;Production                                        
215;Andrew                                            ;M                                                 ;Cencini                                           ;N;1988/04/24 00:00:00.000000000;andrew1@adventure-works.com                       ;207-555-0192             ;M;Production                                        
217;Chris                                             ;O                                                 ;Okelberry                                         ;N;1986/03/07 00:00:00.000000000;chris2@adventure-works.com                        ;315-555-0144             ;M;Production                                        
218;Shelley                                           ;N                                                 ;Dyck                                              ;N;1986/07/08 00:00:00.000000000;shelley0@adventure-works.com                      ;991-555-0184             ;F;Production                                        
219;Gabe                                              ;B                                                 ;Mares                                             ;N;1987/12/09 00:00:00.000000000;gabe0@adventure-works.com                         ;310-555-0117             ;M;Production                                        
223;Charles                                           ;B                                                 ;Fitzgerald                                        ;N;1971/04/02 00:00:00.000000000;charles0@adventure-works.com                      ;931-555-0118             ;M;Production                                        
224;Ebru                                              ;N                                                 ;Ersan                                             ;N;1986/04/22 00:00:00.000000000;ebru0@adventure-works.com                         ;202-555-0187             ;M;Production                                        
225;Sylvester                                         ;A                                                 ;Valdez                                            ;N;1970/06/12 00:00:00.000000000;sylvester0@adventure-works.com                    ;492-555-0174             ;M;Production                                        
226;Brian                                             ;Richard                                           ;Goldstein                                         ;N;1970/07/23 00:00:00.000000000;brian2@adventure-works.com                        ;730-555-0117             ;M;Production                                        
228;Betsy                                             ;A                                                 ;Stadick                                           ;N;1942/07/17 00:00:00.000000000;betsy0@adventure-works.com                        ;405-555-0171             ;F;Production                                        
230;Karan                                             ;R                                                 ;Khanna                                            ;N;1969/10/05 00:00:00.000000000;karan0@adventure-works.com                        ;447-555-0186             ;M;Production                                        
231;Mary                                              ;R                                                 ;Baker                                             ;N;1986/04/19 00:00:00.000000000;mary1@adventure-works.com                         ;283-555-0185             ;F;Production                                        
232;Kevin                                             ;M                                                 ;Homer                                             ;N;1986/04/19 00:00:00.000000000;kevin2@adventure-works.com                        ;555-555-0113             ;M;Production                                        
233;Mihail                                            ;U                                                 ;Frintu                                            ;N;1970/10/07 00:00:00.000000000;mihail0@adventure-works.com                       ;733-555-0128             ;M;Production                                        
234;Bonnie                                            ;N                                                 ;Kearney                                           ;N;1986/04/10 00:00:00.000000000;bonnie0@adventure-works.com                       ;264-555-0150             ;F;Production                                        
236;Hung-Fu                                           ;T                                                 ;Ting                                              ;N;1971/05/23 00:00:00.000000000;hung-fu0@adventure-works.com                      ;497-555-0181             ;M;Production                                        
238;Kimberly                                          ;B                                                 ;Zimmerman                                         ;N;1986/04/13 00:00:00.000000000;kimberly0@adventure-works.com                     ;123-555-0167             ;F;Production                                        
239;Kim                                               ;B                                                 ;Abercrombie                                       ;N;1942/07/14 00:00:00.000000000;kim1@adventure-works.com                          ;208-555-0114             ;F;Production                                        
240;Sandeep                                           ;P                                                 ;Kaliyath                                          ;N;1970/07/03 00:00:00.000000000;sandeep0@adventure-works.com                      ;166-555-0156             ;M;Production                                        
241;Prasanna                                          ;E                                                 ;Samarawickrama                                    ;N;1952/11/28 00:00:00.000000000;prasanna0@adventure-works.com                     ;129-555-0199             ;M;Production                                        
243;Min                                               ;G                                                 ;Su                                                ;N;1974/04/10 00:00:00.000000000;min0@adventure-works.com                          ;590-555-0152             ;M;Production                                        
244;Eric                                              ;L                                                 ;Brown                                             ;N;1942/07/08 00:00:00.000000000;eric1@adventure-works.com                         ;680-555-0118             ;M;Production                                        
247;Maciej                                            ;W                                                 ;Dusza                                             ;N;1954/08/30 00:00:00.000000000;maciej0@adventure-works.com                       ;237-555-0128             ;M;Production                                        
249;Patrick                                           ;C                                                 ;Wedge                                             ;N;1986/04/10 00:00:00.000000000;patrick0@adventure-works.com                      ;413-555-0124             ;M;Production                                        
250;Frank                                             ;R                                                 ;Martinez                                          ;N;1951/10/01 00:00:00.000000000;frank3@adventure-works.com                        ;203-555-0196             ;M;Production                                        
251;Ed                                                ;R                                                 ;Dudenhoefer                                       ;N;1971/04/11 00:00:00.000000000;ed0@adventure-works.com                           ;919-555-0140             ;M;Production                                        
252;Christopher                                       ;E                                                 ;Hill                                              ;N;1986/05/01 00:00:00.000000000;christopher0@adventure-works.com                  ;153-555-0166             ;M;Production                                        
253;Patrick                                           ;M                                                 ;Cook                                              ;N;1973/07/23 00:00:00.000000000;patrick1@adventure-works.com                      ;425-555-0117             ;M;Production                                        
